school_name,area,address,level,bus,AddmissionLast Date
Swiss Cottage Secondary School,West,"3 Bukit Batok Street 34, Bukit Batok, S(659322)",Secondary,945;187,
Red Swastika School,East,"350 Bedok North Avenue 3, Bedok, S(469719)",Primary,14;17;18;28;66;67;69;222;227;228,
Chij Katong Convent,East,"346 Marine Terrace, Marine Parade, S(449150)",Secondary,4N;13;16;31;36;43;47;48;55;134;135;150;196;196E;197;541;763;853,
,,,,,
Yu Neng Primary School,East,"56 Bedok North St 3, Bedok, S(469623)",Primary,14;17;18;28;66;67;69;225,
Macpherson Primary School,East,"2 Mattar Road, Geylang, S(387724)",Primary,40;63;65;66;135;154;155,
Marymount Convent School,South,"20 Marymount Road, Toa Payoh, S(297754)",Primary,141;235,
,,,,,
Cedar Girls' Secondary School,East,"1 Cedar Avenue, Toa Payoh, S(349692)",Secondary,8;61;64;65;66;90;100;135;151;154;155,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Blangah Rise Primary School,South,"91 Telok Blangah Heights, Bukit Merah, S(109100)",Primary,273;124,
,,,,,
Loyang View Secondary School,East,"12 Pasir Ris Street 11, Pasir Ris, S(519073)",Secondary,12;21;39;53;81;359;351,
,,,,,
Catholic Junior College,South,"129 Whitley Road, Novena, S(297822)",Junior College,105;132;151;153;154;156;186;996;985,
,,,,,
,,,,,
,,,,,
Chung Cheng High School (Yishun),North,"11 Yishun Street 61, Yishun, S(768547)",Secondary,85;811;812;851;852;853;854;855;858;965;969,
Tampines North Primary School,East,"30 Tampines Avenue 9, Tampines, S(529565)",Primary,28;29;293,
Springfield Secondary School,East,"30 Tampines Avenue 8, Tampines, S(529593)",Secondary,8;15;23;69;118;129;291;293;513;518,
    bukit view primary school,West,"18 Bukit Batok Street 21, Bukit Batok, S(659634)",Primary,173;157;178;852;66;106;61;506;963;77,
,,,,,
Chij Our Lady Queen Of Peace,West,"4 Chestnut Drive, Bukit Panjang, S(679287)",Primary,180;67;171;176;177;178;184;961;963;970,
,,,,,
Telok Kurau Primary School,East,"50 Bedok Reservoir Rd, Bedok, S(479239)",Primary,8;15;22;55;65;60;66;87;506,
,,,,,
Jurong Secondary School,West,"31 Yuan Ching Road, Jurong West, S(618652)",Secondary,30;49;98;98A;154;240;246,
Yuhua Primary School,West,"158 Jurong East Street 24, Jurong East, S(609558)",Primary,98;98A;187;333;502;507;NR5,
,,,,,
,,,,,
Yangzheng Primary School,South,"15 Serangoon Avenue 3, Serangoon, S(556108)",Primary,58;105;133;135,
,,,,,
Millennia Institute,West,"60 Bukit Batok West Avenue 8, Bukit Batok, S(658965)",Centralised Institute,66;157;174;174E;506;178;941;174M,
Tampines Primary School,East,"250 Tampines Street 12, Tampines, S(529426)",Primary,8;10;17;18;27;31;65;292;293,
St. Andrew'S Junior College,South,"5 Sorby Adams Drive, Toa Payoh, S(357691)",Junior College,8;26;31;90;142;151;154;857;966;985;853,
,,,,,
Hai Sing Catholic School,East,"9 Pasir Ris Drive 6, Pasir Ris, S(519421)",Secondary,3;5;6;12;17;21;89;354;358,
Admiralty Primary School,North,"11 Woodlands Circle, Woodlands, S(738907)",Primary,965;964;913,
,,,,,
Peirce Secondary School,South,"10 Sin Ming Walk, Bishan, S(575566)",Secondary,52;132;162;163;165;166;167;410;855;980,
,,,,,
,,,,,
Shuqun Primary School,West,"8 Jurong West Street 51, Jurong West, S(649332)",Primary,98;187;335,
Chij (Katong) Primary,East,"17 Martia Road, Bedok, S(424821)",Primary,15;55;36;16;135;197;196;31;13;76;12;10;14;32;40,
,,,,,
,,,,,
North View Primary School,North,"210 Yishun Avenue 6, Yishun, S(768960)",Primary,804;806,
               West Spring Primary SCHOol,West,"60 Bukit Panjang Ring Road, Bukit Panjang, S(679946)",Primary,920;922,
New Town Secondary School,West,"1020 Dover Road, Queenstown, S(139657)",Secondary,33;96;151;196;183,
,,,,,
    cedar primary school,South,"15 Cedar Avenue, Toa Payoh, S(349700)",Primary,8;61;65;66;100;135;154,
St. Gabriel'S Secondary School,South,"24 Serangoon Avenue 1, Serangoon, S(556140)",Secondary,158,
Fuhua Primary School,West,"65 Jurong East Street 13, Jurong East, S(609647)",Primary,51;66;66B;78;79;97;97A;98;105;105B;143;176;197;333;334;335;506,
Victoria School,East,"2 Siglap Link, Bedok, S(448880)",Secondary,31;36;43;47;48;55;76;135;155;196;196E;197;401;541;763;853;853C;4N,
